Reunion Years Out,Greek_Yes,Alumni - Undergrad,Former Trustee,Board of Trustees,Donor,Alumni - Graduate Only,Prospect,Parent - Current,Grandparent,Alumni Non-Degree,Planned Giver,Volunteer,Fundraiser,Trustee Emeritus,Recognized Donor,Parent - Past
45,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
68,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
60,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36,True,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
25,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
51,True,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
58,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,True,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
62,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,True,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
67,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,False,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
59,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
15,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1
30,True,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
58,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,False,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31,True,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0
10,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,True,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
40,False,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
10,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,True,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
11,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,True,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
50,True,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
56,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,True,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
20,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
53,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
65,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
55,True,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
20,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
54,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10,True,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
51,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
20,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
16,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
58,True,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
45,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
56,True,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,True,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,True,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
36,True,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
65,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15,False,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
68,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,False,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
